date,ticker,burst_ts,window_open_ts,direction,buy_aggr_lot_w,sell_aggr_lot_w,trade_count_w,buy_dom_ratio,price_progress_ticks,follow_return_ticks,counter_move_ticks,upper_wick_ratio,lower_wick_ratio,gulungan_up_score,gulungan_down_score,effort_result_up,effort_result_down,post_up_followthrough_score,post_down_followthrough_score,absorption_after_up_score,absorption_after_down_score,bullish_burst_score_intraday,bearish_burst_score_intraday,bull_trap_score_intraday,bear_trap_score_intraday,valid_bullish_burst,trap_burst,valid_bearish_burst,bear_trap,event_label,sell_dom_ratio
2026-04-09,AAA,2026-04-09 09:00:21,2026-04-09 09:00:12,UP,350.0,0.0,4.0,0.9999999999971428,74.00000000006821,52.00000000004832,21.000000000019895,0.0,0.0,71.88858695511708,0.0,100.0,50.0,65.0,50.0,26.285714285714285,50.0,57.55943322939226,20.0,35.13800465796369,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,AAA,2026-04-09 09:00:27,2026-04-09 09:00:18,UP,295.0,15.0,4.0,0.9516129032227367,29.00000000002842,30.00000000002558,0.0,0.033333333333301754,0.0,63.08489656240804,0.0,100.0,50.0,99.33333333333397,50.0,9.717514124293155,50.0,66.81529947719727,20.0,21.488180833128908,20.0,1,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,AAA,2026-04-09 09:00:45,2026-04-09 09:00:36,UP,339.0,0.0,4.0,0.9999999999970501,59.000000000054,37.000000000034106,0.0,0.0,0.0,71.51494565076682,0.0,100.0,50.0,100.0,50.0,3.185840707964602,50.0,70.81731555363712,20.0,22.250943872221196,20.0,1,0,0,0,UP_CONTINUATION_BURST,
2026-04-09,AAA,2026-04-09 09:00:48,2026-04-09 09:00:39,UP,321.0,0.0,4.0,0.9999999999968847,77.00000000006821,-38.000000000034106,38.000000000034106,0.0,0.0,70.90353260728402,0.0,100.0,50.0,20.0,50.0,55.23364485981308,50.0,40.22433081022259,20.0,51.07947099713847,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,AAA,2026-04-09 09:00:51,2026-04-09 09:00:42,UP,317.0,0.0,4.0,0.9999999999968454,91.00000000008242,-67.00000000005969,67.00000000005969,0.0,0.0,70.76766304206551,0.0,100.0,50.0,20.0,50.0,55.29968454258676,50.0,40.1703620041023,20.0,51.05522004826634,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,AAA,2026-04-09 09:01:15,2026-04-09 09:01:06,UP,297.0,84.0,4.0,0.7795275590530721,11.000000000011369,14.000000000011369,15.00000000001421,0.38888888888883627,0.0,51.26941757822993,0.0,100.0,50.0,57.22222222222327,50.0,35.505050505049454,50.0,47.58537072801491,20.0,32.81264345528669,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,AAA,2026-04-09 09:01:24,2026-04-09 09:01:15,UP,312.0,27.0,4.0,0.9203539822981701,14.000000000011369,-62.000000000054,62.000000000054,0.0,0.5172413793103786,62.41198537759733,0.0,100.0,50.0,20.0,50.0,75.67307692307692,50.0,33.588980228663814,20.0,53.64186484404843,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,AAA,2026-04-09 09:01:33,2026-04-09 09:01:24,DOWN,117.0,267.0,4.0,,62.000000000054,-19.000000000017053,39.000000000034106,0.0,0.0,0.0,67.13232633717745,50.0,100.0,50.0,20.0,50.0,67.41573033707866,20.0,36.6565518337375,20.0,52.9936304854229,0,0,0,0,DOWN_INITIATIVE_SWEEP,0.6953124999981893
2026-04-09,AAA,2026-04-09 09:01:36,2026-04-09 09:01:27,DOWN,60.0,267.0,4.0,,25.000000000022737,-12.000000000011369,25.000000000022737,0.0,0.35897435897433655,0.0,66.98037679586558,50.0,100.0,50.0,12.820512820513269,50.0,78.8648804379137,20.0,32.52626515630525,20.0,57.246230584135446,0,0,0,0,DOWN_INITIATIVE_SWEEP,0.8165137614653929
2026-04-09,AAA,2026-04-09 09:01:57,2026-04-09 09:01:48,DOWN,0.0,223.0,4.0,,33.000000000031264,0.0,0.0,0.0,0.15384615384615385,0.0,71.13603473072595,50.0,100.0,50.0,63.17307692307692,50.0,21.826923076923077,20.0,57.7686950346024,20.0,34.16292580383317,0,0,0,0,DOWN_INITIATIVE_SWEEP,0.9999999999955157
2026-04-09,BBB,2026-04-09 09:00:45,2026-04-09 09:00:36,UP,232.0,23.0,4.0,0.9098039215650596,20.000000000017053,1.000000000001421,0.0,0.09090909090913789,0.0,61.87092831568627,0.0,100.0,50.0,75.68181818183322,50.0,23.628526645760083,50.0,57.75602771101217,20.0,29.332046519779254,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,BBB,2026-04-09 09:00:48,2026-04-09 09:00:39,UP,223.0,23.0,4.0,0.9065040650369655,20.000000000017053,-11.000000000009948,21.000000000018474,0.0,0.3750000000000222,61.332429989523696,0.0,100.0,50.0,20.0,50.0,59.686098654708516,50.0,36.4625092659154,20.0,49.32125366053424,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,BBB,2026-04-09 09:01:12,2026-04-09 09:01:03,UP,246.0,66.0,4.0,0.7884615384590113,1.000000000001421,-1.000000000001421,37.000000000034106,0.0,0.8888888888888362,35.98290598150945,0.0,12.964882318023493,50.0,20.0,50.0,53.53658536585366,50.0,8.328775300787973,20.0,61.93779755641037,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,BBB,2026-04-09 09:01:27,2026-04-09 09:01:18,UP,250.0,0.0,4.0,0.9999999999960001,24.000000000022737,-18.000000000017053,19.000000000017053,0.0,0.0,66.29177958300151,0.0,100.0,50.0,20.0,50.0,61.4,50.0,37.607533874900454,20.0,51.23753387490046,20.0,0,0,0,0,UP_INITIATIVE_SWEEP,
2026-04-09,BBB,2026-04-09 09:01:39,2026-04-09 09:01:30,DOWN,0.0,107.0,4.0,,4.000000000004263,11.000000000009948,0.0,0.19999999999982948,0.0,0.0,53.741893642906504,50.0,61.02227209254809,50.0,100.0,50.0,20.467289719626166,20.0,52.284678172083744,20.0,30.98382249964147,0,0,0,0,DOWN_INITIATIVE_SWEEP,0.9999999999906541
2026-04-09,BBB,2026-04-09 09:01:42,2026-04-09 09:01:33,DOWN,0.0,140.0,4.0,,15.00000000001421,-5.000000000004263,11.000000000009948,0.06249999999994449,0.0,0.0,68.61867704113337,50.0,100.0,50.0,20.0,50.0,80.0,20.0,34.58560311234001,20.0,56.58560311234001,0,0,0,0,DOWN_INITIATIVE_SWEEP,0.9999999999928573
2026-04-09,BBB,2026-04-09 09:01:54,2026-04-09 09:01:45,UP,250.0,56.0,4.0,0.8169934640496177,13.000000000011369,18.000000000017053,0.0,0.0,0.45833333333334075,58.97151814514622,0.0,100.0,50.0,100.0,50.0,0.0,50.0,67.69145544354387,20.0,17.691455443543866,20.0,1,0,0,0,UP_INITIATIVE_SWEEP,
